genID	clust_num	clust_size	description	Org_name	product	prom_cg	genes_cg	prom_longs	genes_longs	Chrom	Start	End	Dist	Tandem
Ncaninum_LIV_000737200.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53454	385.591	386	Nc_XII	322176	323333	1746	37
TGME49_321490-t26_1	2	93	SAG-related sequence SRS12A	Tgondii	-----	0.530731	0.54522	385.591	387	Ib	1768332	1772883	455	1
Ncaninum_LIV_000737600.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52541	385.591	387	Nc_XII	334799	335959	827073	37
Ncaninum_LIV_000736000.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.55325	385.591	385	Nc_XII	283625	284779	3151	37
Ncaninum_LIV_000736800.1	2	93	-----	Ncaninum	SAG1-related sequence 2, related	0.530731	0.54005	385.591	387	Nc_XII	311347	312507	6758	37
Ncaninum_LIV_000735700.1	2	93	-----	Ncaninum	SAG1-related sequence 2, related	0.530731	0.54957	385.591	390	Nc_XII	273704	274873	3081	37
Ncaninum_LIV_000735600.1	2	93	-----	Ncaninum	SAG1-related sequence 2, related	0.530731	0.54296	385.591	388	Nc_XII	269473	270636	3068	37
Ncaninum_LIV_000735500.1	2	93	-----	Ncaninum	SAG1-related sequence 2, related	0.530731	0.54701	385.591	390	Nc_XII	265235	266404	3069	37
Ncaninum_LIV_000735800.1	2	93	-----	Ncaninum	SAG1-related sequence 2, related	0.530731	0.55268	385.591	386	Nc_XII	277954	279111	1862	37
Ncaninum_LIV_000736100.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.57168	385.591	386	Nc_XII	287930	289087	3507	37
Ncaninum_LIV_000736200.1	2	93	-----	Ncaninum	SRS domain containing protein, putative	0.530731	0.55152	385.591	330	Nc_XII	292594	293583	4555	37
Ncaninum_LIV_000735900.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.54047	385.591	383	Nc_XII	280973	282121	1504	37
Ncaninum_LIV_000735400.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.54362	385.591	363	Nc_XII	261073	262161	3074	37
Ncaninum_LIV_000182200.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.55413	385.591	391	Nc_II	2746047	2747219	1390	16
Ncaninum_LIV_000182300.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54872	385.591	390	Nc_II	2748609	2749778	1384	16
Ncaninum_LIV_000183000.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54872	385.591	390	Nc_II	2766793	2767962	3924	16
Ncaninum_LIV_000182400.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54762	385.591	392	Nc_II	2751162	2752337	1377	16
Ncaninum_LIV_000182100.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52707	385.591	394	Nc_II	2743512	2744693	1354	16
Ncaninum_LIV_000181900.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52037	385.591	401	Nc_II	2738380	2739582	1362	16
Ncaninum_LIV_000182700.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.51862	385.591	358	Nc_II	2758856	2759929	1466	16
Ncaninum_LIV_000182000.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53249	385.591	395	Nc_II	2740944	2742128	1384	16
Ncaninum_LIV_000181800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52453	385.591	659	Nc_II	2732935	2736646	1734	16
Ncaninum_LIV_000182500.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53551	385.591	399	Nc_II	2753714	2754910	1365	16
Ncaninum_LIV_000182800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53634	385.591	399	Nc_II	2761395	2762591	1615	16
Ncaninum_LIV_000182600.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5447	385.591	399	Nc_II	2756275	2757471	1385	16
Ncaninum_LIV_000182900.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.533	385.591	399	Nc_II	2764206	2765402	1391	16
Ncaninum_LIV_000183200.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52897	385.591	397	Nc_II	2771886	2773076	407586	16
TGME49_224750-t26_1	2	93	SAG-related sequence SRS40F	Tgondii	-----	0.530731	0.52126	385.591	392	X	2838590	2840685	443121	46
TGME49_224790-t26_1	2	93	SAG-related sequence SRS40A	Tgondii	-----	0.530731	0.50975	385.591	393	X	2827513	2829792	-266	46
TGME49_224760-t26_1	2	93	SAG-related sequence SRS40E	Tgondii	-----	0.530731	0.51469	385.591	397	X	2836196	2837822	768	46
TGME49_224780-t26_1	2	93	SAG-related sequence SRS40B	Tgondii	-----	0.530731	0.50685	385.591	219	X	2829526	2831100	2430	46
TGME49_320250-t26_1	2	93	SAG-related sequence SRS15A	Tgondii	-----	0.530731	0.52163	385.591	393	IV	418400	419578	1573	2
Ncaninum_LIV_000678600.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52609	385.591	460	Nc_X	449439	450818	5711	34
Ncaninum_LIV_000677500.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52729	385.591	397	Nc_X	407750	408940	2257	33
TGME49_320170-t26_1	2	93	SAG-related sequence SRS16E	Tgondii	-----	0.530731	0.52369	385.591	394	IV	451106	452698	555629	3
Ncaninum_LIV_000678300.1	2	93	-----	Ncaninum	Bradyzoite surface protein BSR4	0.530731	0.53523	385.591	421	Nc_X	438361	440373	1275	34
Ncaninum_LIV_000678400.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.51216	385.591	425	Nc_X	441648	442922	1937	34
Ncaninum_LIV_000678500.1	2	93	-----	Ncaninum	SRS domain containing protein, putative	0.530731	0.52541	385.591	387	Nc_X	444859	446019	3420	34
